Date,kWh
2017-01-01,393707.0499999999
2017-01-02,538022.6299999994
2017-01-03,549714.0900000002
2017-01-04,548953.1199999998
2017-01-05,545259.2799999999
2017-01-06,476644.64
2017-01-07,441790.8300000003
2017-01-08,427113.2200000001
2017-01-09,629581.7799999999
2017-01-10,635106.3400000002
2017-01-11,641858.3599999998
2017-01-12,642418.0399999997
2017-01-13,626061.8099999996
2017-01-14,446133.3299999999
2017-01-15,430397.09999999986
2017-01-16,637192.4500000003
2017-01-17,643190.7900000003
2017-01-18,640856.5500000006
2017-01-19,637519.5899999997
2017-01-20,626261.2700000001
2017-01-21,449068.35999999923
2017-01-22,427766.95999999996
2017-01-23,633041.0899999997
2017-01-24,638963.3199999998
2017-01-25,643328.0299999997
2017-01-26,637582.840000001
2017-01-27,611295.7799999998
2017-01-28,445632.3299999999
2017-01-29,429299.61000000057
2017-01-30,633873.1799999995
2017-01-31,626986.91
2017-02-01,634017.3800000002
2017-02-02,639621.9799999999
2017-02-03,620260.0199999998
2017-02-04,435123.5900000001
2017-02-05,430423.8400000004
2017-02-06,640569.6499999999
2017-02-07,633460.7000000001
2017-02-08,640729.7800000003
2017-02-09,641991.0000000002
2017-02-10,630056.8699999998
2017-02-11,459117.9600000006
2017-02-12,439790.60000000015
2017-02-13,622970.6400000001
2017-02-14,610237.6799999999
2017-02-15,624006.3099999999
2017-02-16,621010.6000000008
2017-02-17,599202.1
2017-02-18,421744.9800000002
2017-02-19,419627.81000000023
2017-02-20,555626.5100000002
2017-02-21,557476.0900000002
2017-02-22,562303.8000000003
2017-02-23,559821.1100000002
2017-02-24,552533.5300000004
2017-02-25,436670.39999999997
2017-02-26,421835.0299999998
2017-02-27,625556.6899999996
2017-02-28,622440.1100000001
2017-03-01,628832.1699999999
2017-03-02,626149.2700000003
2017-03-03,612231.8700000003
2017-03-04,444322.8300000001
2017-03-05,426015.4799999997
2017-03-06,615999.7900000002
2017-03-07,632808.8600000001
2017-03-08,626601.6499999996
2017-03-09,617867.32
2017-03-10,595053.7500000002
2017-03-11,426726.03999999946
2017-03-12,420309.05000000016
2017-03-13,615549.3799999998
2017-03-14,619940.5800000001
2017-03-15,596336.9499999995
2017-03-16,586128.3899999995
2017-03-17,599759.8999999999
2017-03-18,420095.7500000001
2017-03-19,407364.8099999998
2017-03-20,593684.74
2017-03-21,609459.9599999989
2017-03-22,604617.4999999995
2017-03-23,589641.86
2017-03-24,579544.8899999998
2017-03-25,416324.45
2017-03-26,378595.86
2017-03-27,564769.7800000004
2017-03-28,579715.5100000002
2017-03-29,587604.72
2017-03-30,587537.8200000002
2017-03-31,591859.8299999998
2017-04-01,422938.8899999995
2017-04-02,393052.6199999999
2017-04-03,585981.7899999995
2017-04-04,585992.13
2017-04-05,589973.59
2017-04-06,571970.9100000004
2017-04-07,565513.4900000003
2017-04-08,407572.10999999975
2017-04-09,402254.87000000064
2017-04-10,569157.6099999996
2017-04-11,564930.6999999998
2017-04-12,575013.8800000001
2017-04-13,558161.3499999994
2017-04-14,431133.2500000007
2017-04-15,386062.45999999956
2017-04-16,388179.4599999999
2017-04-17,425132.92000000004
2017-04-18,572207.3799999998
2017-04-19,572819.1900000002
2017-04-20,572295.92
2017-04-21,556837.4800000001
2017-04-22,395738.03999999963
2017-04-23,387603.0600000001
2017-04-24,556351.7899999998
2017-04-25,576067.67
2017-04-26,581882.4200000004
2017-04-27,566434.1
2017-04-28,553547.5000000001
2017-04-29,404325.75999999983
2017-04-30,384281.81999999995
2017-05-01,412464.9100000002
2017-05-02,537534.7100000001
2017-05-03,537309.1200000008
2017-05-04,540480.1299999998
2017-05-05,525680.9
2017-05-06,371173.3399999997
